,TICKET_ID,LIBELLE_ENCODED
301,35183711,602
302,35183711,125
303,35183711,93
304,35183711,257
305,35183711,596
306,35183711,1069
307,35183711,598
308,35475069,349
309,35475069,31
310,35475069,1194
311,35581460,325
312,36129395,692
313,36129395,576
314,36129395,229
315,36129395,628
316,36129395,167
317,36442509,629
318,36442509,630
319,36442509,628
320,34222215,717
321,34411634,11
322,34411634,597
323,34411634,996
324,34502875,729
325,34502875,294
326,34502875,257
327,34822716,1126
328,34822716,729
329,34822716,888
330,34899427,1256
331,34899427,1235
332,34899427,1218
333,34899427,1197
334,35922240,996
335,32952477,810
336,32952477,210
337,32952477,917
338,34579963,392
339,34579963,596
340,34579963,596
341,36234491,1
342,36234491,596
343,34971785,92
344,33110970,402
345,34211512,729
346,34211512,402
347,34211513,729
348,34211513,402
349,35030194,180
350,33301607,1126
351,33301607,1126
352,33301607,1254
353,33301607,1099
354,33670635,684
355,35993669,568
356,35993669,1097
357,33959881,269
358,33959881,271
359,33959881,270
360,33959881,90
361,33959881,1018
362,33959881,718
363,35104508,101
364,35104508,35
365,35104508,908
366,35104508,492
367,35104508,794
368,35271713,1102
369,35271713,1016
370,35271713,1018
371,35271713,257
372,35877061,629
373,35877061,526
374,35877061,628
375,36435824,748
376,36435824,107
377,36435824,708
378,36435824,7
379,34761045,600
380,34761045,600
381,34976464,121
382,34976464,594
383,34976464,600
384,34976464,600
385,33637699,1146
386,33637699,735
387,33637699,339
388,33156210,203
389,33156210,818
390,33156210,397
391,33426074,811
392,34205877,631
393,34354641,570
394,34354641,631
395,33150739,133
396,33150739,49
397,33871856,1019
398,33871856,564
399,33871856,791
400,34299002,1231
401,34299002,887
402,34299002,78
403,34299002,70
404,34299002,68
405,34299002,1220
406,34845462,165
407,35304831,303
408,36028118,259
409,36269320,39
410,36269320,755
411,36269320,779
412,36269320,243
413,36269320,69
414,36269320,363
415,33169206,570
416,33169206,161
417,33169206,161
418,33169206,912
419,33169206,912
420,33169206,1028
421,33998886,906
422,33998887,123
423,34547405,906
424,34547405,906
425,34547405,123
426,34743383,1026
427,34743383,906
428,34743383,906
429,35907635,906
430,35202286,1020
